date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:41	117/117	---MCZ	200	added ('OK')	text/plain	date:Mon,%2016%20Feb%202026%2020:48:40%20GMT	http://demo-fashion-shop.local/robots.txt		(from )
22:48:41	96316/96316	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Feb%202026%2020:48:41%20GMT	http://demo-fashion-shop.local/	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/index.html	(from )
22:48:41	2111/2111	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Feb%202026%2020:48:41%20GMT	http://demo-fashion-shop.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo-fashion-shop.local%2F	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-json/oembed/1.0/embed20b5.json	(from http://demo-fashion-shop.local/)
22:48:42	2250/2250	---MCZ	200	added ('OK')	text/xml	date:Mon,%2016%20Feb%202026%2020:48:41%20GMT	http://demo-fashion-shop.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo-fashion-shop.local%2F&format=xml	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-json/oembed/1.0/embed66c7	(from http://demo-fashion-shop.local/)
22:48:42	823/823	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2236253a12a06c17493a2cfa2c55e20307%22	http://demo-fashion-shop.local/feed/	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/feed/index.html	(from http://demo-fashion-shop.local/)
22:48:42	717/717	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2236253a12a06c17493a2cfa2c55e20307%22	http://demo-fashion-shop.local/comments/feed/	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/comments/feed/index.html	(from http://demo-fashion-shop.local/)
22:48:42	192188/192188	---MCZ	200	added ('OK')	text/css	etag:W/%226985032d-2eebc%22	http://demo-fashion-shop.local/wp-content/plugins/user-registration/assets/css/user-registration.css?ver=5.1.1	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/plugins/user-registration/assets/css/user-registration3c21.css	(from http://demo-fashion-shop.local/)
22:48:42	5456/5456	---MCZ	200	added ('OK')	text/css	etag:W/%2269837d5e-1550%22	http://demo-fashion-shop.local/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.6	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/themes/hello-elementor/assets/css/reset9bf7.css	(from http://demo-fashion-shop.local/)
22:48:42	5097/5097	---MCZ	200	added ('OK')	text/css	etag:W/%2269837d5e-13e9%22	http://demo-fashion-shop.local/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.6	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/themes/hello-elementor/assets/css/theme9bf7.css	(from http://demo-fashion-shop.local/)
22:48:43	7182/7182	---MCZ	200	added ('OK')	text/css	etag:W/%2269837d5e-1c0e%22	http://demo-fashion-shop.local/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.6	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/themes/hello-elementor/assets/css/header-footer9bf7.css	(from http://demo-fashion-shop.local/)
22:48:43	54666/54666	---MCZ	200	added ('OK')	text/css	etag:W/%2269837c69-d58a%22	http://demo-fashion-shop.local/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.35.0	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/plugins/elementor/assets/css/frontend.mind341.css	(from http://demo-fashion-shop.local/)
22:48:43	560/560	---MCZ	200	added ('OK')	text/css	etag:W/%2269837c69-230%22	http://demo-fashion-shop.local/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.35.0	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/plugins/elementor/assets/css/widget-heading.mind341.css	(from http://demo-fashion-shop.local/)
22:48:43	198/198	---MCZ	200	added ('OK')	text/css	etag:W/%2269837c6b-c6%22	http://demo-fashion-shop.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.35.0	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.mind341.css	(from http://demo-fashion-shop.local/)
22:48:43	214/214	---MCZ	200	added ('OK')	text/css	etag:W/%2269837c69-d6%22	http://demo-fashion-shop.local/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.35.0	C:/My%20Web%20Sites/level-up/demo-fashion-shop.local/wp-content/plugins/elementor/assets/css/widget-image.mind341.css	(from http://demo-fashion-shop.local/)
